intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 뭔지 보여줘	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 보려면 어디로 가야해?	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 알려 주세요	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 알려줘	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 어디에서 확인할 수 있어?	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 확인 도와줬으면 해	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 확인을 도와줘요	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택 확인해도 될까?	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택에는 뭐가 있지?	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 등급 혜택을 확인하고 싶습니다	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 멤버십으로 어떤 혜택 받을 수 있는지 확인할게	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	Gold 혜택	Gold	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	sk 멤버십 골드 무슨 혜택 있습니까?	골드	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	SK 멤버십 골드 무슨 혜택 있어?	골드	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	sk 멤버십 골드는 무슨 혜택 있는지 문의드려요	골드	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	sk 멤버십 골드는 무슨 혜택이 있나 여쭤볼게요	골드	Membership_Gold		
intent_T멤버십_Gold_혜택_문의_FAQ	sk 멤버십 골드는 무슨 혜택이 있을까요?	골드	Membership_Gold		
